status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
232633627068_10156937605582069,"這.....三天兩夜只要37元，晚上是住鬼屋嗎.....？　#鬼編 
　
【強國辦櫻花旅遊節　滿山的花都是塑膠花】
https://tw.news.appledaily.com/international/realtime/20180322/1320159/
　
#蘋果國際 #中國",37元低價購物團　午飯只有白飯配豆腐乳引遊客不滿,link,https://tw.news.appledaily.com/international/realtime/20180322/1320188/,2018-03-22 22:20:00,1893,73,26,1163,1,139,579,5,6,0
232633627068_10156937781807069,"好可怕！
 
#蘋果社會",【恐怖瞬間】國道西螺1死4傷車禍　肇事貨車高速推撞車陣,link,https://tw.news.appledaily.com/local/realtime/20180322/1319871/,2018-03-22 22:13:12,3501,48,72,2650,0,457,1,366,27,0
232633627068_10156937686187069,"現在這種敏感時刻，一有狀況都會被放大解讀啊！
　
【傅崐萁歷年參選政治獻金　3成多來自石材業】
https://tw.news.appledaily.com/politics/realtime/20180322/1320057
　
【花蓮震災2天退款1097萬元　學童今捐月零用300元】
https://tw.news.appledaily.com/local/realtime/20180322/1320149
#花蓮地震 傅崐萁 #捐款",花蓮地震善款退款書無法下載　社會處：原因正在查,link,https://tw.news.appledaily.com/local/realtime/20180322/1320291/,2018-03-22 22:00:00,281,32,2,151,0,4,81,1,44,0
232633627068_10156937663407069,"恭喜 Lamigo Monkeys！
　
【對戰桃猿有點尷尬　林志祥還是想回職棒】
https://tw.sports.appledaily.com/realtime/20180322/1320127/
#蘋果體育 王柏融 Po Jung Wang 崇越隼鷹棒球隊粉絲團
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",桃猿21比0大勝　崇越進軍職棒再等等,link,https://tw.appledaily.com/new/realtime/20180322/1320161/,2018-03-22 21:52:00,1550,14,3,1448,1,42,59,0,0,0
232633627068_10156937618162069,"騙了兩千多萬，還敢求輕判？😠😠😠
　
#蘋果社會",禿男詐27女連女藝人都上當　求輕判被打臉,link,https://tw.news.appledaily.com/local/realtime/20180322/1320314/,2018-03-22 21:40:00,345,15,4,288,0,3,19,1,34,0
232633627068_10156936969432069,"不要因為你的失約，影響別人做生意啊！
　
看更多 #影片‬，請加入 蘋果動未條 粉絲團",蘋果動未條,video,https://www.facebook.com/appledaily.animation/videos/833824640150059/,2018-03-22 21:30:17,367,9,20,339,1,4,14,0,9,0
232633627068_10156937238937069,"真的是很欺負人耶！！
　
#蘋果社會",怪醫竟是狼　觸診猥褻女大生辯稱她求包養,link,https://tw.news.appledaily.com/local/realtime/20180322/1320098/,2018-03-22 21:20:00,319,17,7,202,0,12,14,0,91,0
232633627068_10156937083432069,"覺得罰則可以更重一點 #7pupu編
　
#幼兒教育及照顧法",政院通過《幼照法》　教保人員體罰、性騷幼兒最重罰30萬 |,link,https://tw.news.appledaily.com/politics/realtime/20180322/1320069/,2018-03-22 21:10:00,314,92,18,258,3,15,25,2,11,0
232633627068_10156937514342069,"這樣真的很近耶！
　
#蘋果國際 #菲律賓 
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",捍衛漁場　菲律賓下月起在台灣蘭嶼附近蓋海事基地,link,https://tw.news.appledaily.com/international/realtime/20180322/1320283/,2018-03-22 21:00:35,4514,457,114,2935,11,229,290,11,1038,0
232633627068_10156937257622069,"這樣就不用趕著櫻花祭去看啦 ( ͡° ͜ʖ ͡°)
　
#蘋果國際 #中國 
🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe",強國辦櫻花旅遊節　滿山的花都是塑膠花,link,https://tw.news.appledaily.com/international/realtime/20180322/1320159/,2018-03-22 20:50:00,1790,86,40,799,4,83,898,3,3,0
